key_algorithm_oid,test_result
1.3.6.1.4.1.2.267.12.4.4,Y
1.3.6.1.4.1.2.267.12.6.5,Y
1.3.6.1.4.1.2.267.12.8.7,Y
1.3.9999.3.6,
1.3.9999.3.9,
1.3.9999.6.4.13,Y
1.3.9999.6.4.16,Y
1.3.9999.6.5.10,Y
1.3.9999.6.5.12,Y
1.3.9999.6.6.10,Y
1.3.9999.6.6.12,Y
1.3.9999.6.7.13,Y
1.3.9999.6.7.16,Y
1.3.9999.6.8.10,Y
1.3.9999.6.8.12,Y
1.3.9999.6.9.10,Y
1.3.9999.6.9.12,Y
2.16.840.1.114027.80.8.1.10,
2.16.840.1.114027.80.8.1.11,Y
2.16.840.1.114027.80.8.1.12,
2.16.840.1.114027.80.8.1.13,
2.16.840.1.114027.80.8.1.14,
2.16.840.1.114027.80.8.1.15,
2.16.840.1.114027.80.8.1.16,
2.16.840.1.114027.80.8.1.1,
2.16.840.1.114027.80.8.1.2,Y
2.16.840.1.114027.80.8.1.3,
2.16.840.1.114027.80.8.1.4,Y
2.16.840.1.114027.80.8.1.5,
2.16.840.1.114027.80.8.1.6,
2.16.840.1.114027.80.8.1.7,Y
2.16.840.1.114027.80.8.1.8,Y
2.16.840.1.114027.80.8.1.9,
catalyst_1.2.840.10045.4.3.2_with_1.3.6.1.4.1.2.267.12.4.4,
catalyst_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.12.8.7,
catalyst_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.12.4.4,
chameleon_1.2.840.10045.4.3.2_with_1.3.6.1.4.1.2.267.12.4.4,
chameleon_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.12.8.7,
chameleon_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.12.4.4,
composite_1.2.840.10045.4.3.2_with_1.3.6.1.4.1.2.267.12.4.4,
composite_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.12.8.7,
composite_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.12.4.4,
1.3.6.1.4.1.22554.5.5.2,
1.3.6.1.4.1.22554.5.5.3,
1.3.6.1.4.1.22554.5.5.4,
1.3.6.1.4.1.22554.5.6.1,Y
1.3.6.1.4.1.22554.5.6.2,Y
1.3.6.1.4.1.22554.5.6.3,Y
